n,d,s,theta0,a,eps,lambda,mrec_mean,mrec_se,mpriv_mean,mpriv_se
500,100,5,0.1,0.08,0.1,0.0017342867274011888,0.07333333333333335,0.008957601681791539,0.004294593917081641,4.612626572721393e-05
500,100,5,0.1,0.08,0.303448275862069,0.015753758618823818,0.15466666666666665,0.011055550871432989,0.037700322402522385,0.0005432650936922279
500,100,5,0.1,0.08,0.506896551724138,0.042791603573208284,0.21333333333333335,0.014857011742339237,0.1014981394882404,0.001488332865636651
500,100,5,0.1,0.08,0.7103448275862069,0.08077884794167557,0.2786666666666667,0.014270843437185144,0.1982287730703725,0.0033860048054352035
500,100,5,0.1,0.08,0.9137931034482759,0.12702261435758455,0.3973333333333333,0.015599766724197068,0.3062715168508598,0.004617015732192985
500,100,5,0.1,0.08,1.117241379310345,0.17858305354232146,0.4746666666666667,0.015549205052920803,0.4195567262462139,0.005890508023987917
500,100,5,0.1,0.08,1.3206896551724139,0.2326218026449874,0.6079999999999999,0.013495214165367203,0.542421520406071,0.006310204198598496
500,100,5,0.1,0.08,1.524137931034483,0.2866632595889983,0.7093333333333333,0.013719682188147559,0.6484451839627144,0.006358402542573927
500,100,5,0.1,0.08,1.727586206896552,0.33874466586755075,0.7599999999999999,0.01269148633940705,0.7339382408178807,0.006668291397995492
500,100,5,0.1,0.08,1.931034482758621,0.38746179054336494,0.8173333333333332,0.012251892669079573,0.7941208339945712,0.006782224108887704
500,100,5,0.1,0.08,2.13448275862069,0.43193576406183015,0.8653333333333334,0.010949821146799854,0.858472016429619,0.005563596793198033
500,100,5,0.1,0.08,2.337931034482759,0.47173243698517875,0.8866666666666667,0.009348661111553495,0.8944601073661884,0.004986155080668754
500,100,5,0.1,0.08,2.5413793103448277,0.5067622197422124,0.9226666666666665,0.00960735487585754,0.9291994057324835,0.004757752005129348
500,100,5,0.1,0.08,2.7448275862068967,0.5371805591783249,0.948,0.007186863482174222,0.9372040930324246,0.004377552700813179
500,100,5,0.1,0.08,2.9482758620689657,0.5633008640008297,0.944,0.007828131453812304,0.9549832311488066,0.003530102363151096
500,100,5,0.1,0.08,3.151724137931035,0.5855249175775346,0.9733333333333334,0.0058822652096804625,0.970422277169403,0.0030673357107525567
500,100,5,0.1,0.08,3.355172413793104,0.6042912718390502,0.9733333333333334,0.005569706065179573,0.975686825745505,0.0027801050141522546
500,100,5,0.1,0.08,3.558620689655173,0.6200395973422355,0.98,0.004915391523114242,0.9783272855595991,0.002490654882470375
500,100,5,0.1,0.08,3.762068965517242,0.6331879284861891,0.9760000000000001,0.005324377267680286,0.9799489881556597,0.002433193732753956
500,100,5,0.1,0.08,3.965517241379311,0.6441196259850968,0.9826666666666667,0.0046097520076421915,0.982816465304072,0.002355524513910642
500,100,5,0.1,0.08,4.1689655172413795,0.6531772380017389,0.9866666666666667,0.0040870468891880925,0.9860983491071962,0.00199234388729403
500,100,5,0.1,0.08,4.372413793103449,0.6606609826287272,0.984,0.004445040974135667,0.9885976850021256,0.0018250155421660628
500,100,5,0.1,0.08,4.575862068965518,0.6668301287538488,0.9920000000000001,0.0032107202980351255,0.9933983491756206,0.0011410444746966844
500,100,5,0.1,0.08,4.779310344827587,0.6719060383975975,0.9893333333333334,0.00368158445933885,0.9905261473734267,0.0017494420213161749
500,100,5,0.1,0.08,4.982758620689655,0.6760760234293617,0.9893333333333334,0.00368158445933885,0.9932010164315704,0.001241440426406195
500,100,5,0.1,0.08,5.186206896551724,0.6794974637657011,0.9959999999999999,0.002293849377453313,0.9954532827468552,0.0009787145661401676
500,100,5,0.1,0.08,5.389655172413793,0.6823018460549862,0.9866666666666667,0.0040870468891880925,0.9917526754574175,0.0014440311910350542
500,100,5,0.1,0.08,5.593103448275862,0.6845985285121702,0.9920000000000001,0.003210720298035126,0.9925978284630965,0.0012792925040526772
500,100,5,0.1,0.08,5.796551724137931,0.6864781352866509,0.9986666666666667,0.0013333333333333337,0.9964404800331439,0.0008223658371068846
500,100,5,0.1,0.08,6.0,0.688015546246478,0.996,0.002293849377453313,0.9959371709749437,0.0008533853992113187
1000,100,5,0.1,0.08,0.1,0.0034685734548023776,0.07733333333333334,0.0099729686853866,0.008217572920200046,0.0001028975404982068
1000,100,5,0.1,0.08,0.303448275862069,0.031507517237647636,0.16933333333333334,0.012654297504772797,0.07553016760017843,0.0010396606483771902
1000,100,5,0.1,0.08,0.506896551724138,0.08558320714641657,0.27999999999999997,0.014030966073244775,0.20162735273589555,0.0032410204857463458
1000,100,5,0.1,0.08,0.7103448275862069,0.16155769588335114,0.45199999999999996,0.014585089379731794,0.3632153871224146,0.0052109693711730595
1000,100,5,0.1,0.08,0.9137931034482759,0.2540452287151691,0.5773333333333333,0.015080593828369508,0.5367680243540361,0.0069803586520459475
1000,100,5,0.1,0.08,1.117241379310345,0.3571661070846429,0.7599999999999998,0.01283172801488072,0.7030682107615441,0.006622537882101487
1000,100,5,0.1,0.08,1.3206896551724139,0.4652436052899748,0.8186666666666665,0.011561978367619597,0.8026797325749168,0.006288090195491545
1000,100,5,0.1,0.08,1.524137931034483,0.5733265191779966,0.9066666666666666,0.009203961148347126,0.8996122939091369,0.004620107054482043
1000,100,5,0.1,0.08,1.727586206896552,0.6774893317351015,0.9493333333333331,0.007372885002409985,0.9483801286214395,0.0038841041847563844
1000,100,5,0.1,0.08,1.931034482758621,0.7749235810867299,0.9733333333333334,0.005569706065179573,0.9736735997492675,0.0027818629993973977
1000,100,5,0.1,0.08,2.13448275862069,0.8638715281236603,0.9906666666666668,0.0034559117286487194,0.9895767168371447,0.0015860145804169601
1000,100,5,0.1,0.08,2.337931034482759,0.9434648739703575,0.9946666666666666,0.0026396845223113966,0.9944834402690761,0.0011616558191979759
1000,100,5,0.1,0.08,2.5413793103448277,1.0135244394844247,0.9973333333333333,0.0018792798531863458,0.9979279862822333,0.0008349306871486386
1000,100,5,0.1,0.08,2.7448275862068967,1.0743611183566497,0.9986666666666667,0.0013333333333333335,0.9979652227080942,0.0007764233716252684
1000,100,5,0.1,0.08,2.9482758620689657,1.1266017280016594,0.9986666666666667,0.0013333333333333335,0.9991579137046174,0.0004221186472869571
1000,100,5,0.1,0.08,3.151724137931035,1.171049835155069,1.0,0.0,0.9999501084971711,2.0786221908529852e-05
1000,100,5,0.1,0.08,3.355172413793104,1.2085825436781004,1.0,0.0,0.9999581597242184,2.6421319797733545e-05
1000,100,5,0.1,0.08,3.558620689655173,1.240079194684471,1.0,0.0,0.9998885263082616,8.057224903565091e-05
1000,100,5,0.1,0.08,3.762068965517242,1.2663758569723782,1.0,0.0,0.9996880129754724,0.00021519346636560496
1000,100,5,0.1,0.08,3.965517241379311,1.2882392519701935,1.0,0.0,0.9997754194903267,0.00022152154086877438
1000,100,5,0.1,0.08,4.1689655172413795,1.3063544760034778,1.0,0.0,0.9999887816997983,5.6997257511965216e-06
1000,100,5,0.1,0.08,4.372413793103449,1.3213219652574544,1.0,0.0,0.9999936417852124,5.102019684591997e-06
1000,100,5,0.1,0.08,4.575862068965518,1.3336602575076977,0.9986666666666667,0.0013333333333333335,0.9998827000519971,9.68316152947384e-05
1000,100,5,0.1,0.08,4.779310344827587,1.343812076795195,1.0,0.0,0.9999972557144368,2.143714650526584e-06
1000,100,5,0.1,0.08,4.982758620689655,1.3521520468587234,1.0,0.0,0.9999987390035411,8.016914002087205e-07
1000,100,5,0.1,0.08,5.186206896551724,1.3589949275314022,1.0,0.0,0.999998369512795,1.320883255495713e-06
1000,100,5,0.1,0.08,5.389655172413793,1.3646036921099725,1.0,0.0,0.999999967336976,1.9318572076104506e-08
1000,100,5,0.1,0.08,5.593103448275862,1.3691970570243404,1.0,0.0,0.9999999512349499,2.5889545155985646e-08
1000,100,5,0.1,0.08,5.796551724137931,1.3729562705733018,1.0,0.0,0.9999999882790254,5.2941106083696705e-09
1000,100,5,0.1,0.08,6.0,1.376031092492956,1.0,0.0,0.9999999251572219,3.471905050314139e-08
2000,100,5,0.1,0.08,0.1,0.006937146909604755,0.09066666666666667,0.010115514770653887,0.016553609180152685,0.00019516540716940945
2000,100,5,0.1,0.08,0.303448275862069,0.06301503447529527,0.2346666666666667,0.014125885505427737,0.14755465086795339,0.00242855492515553
2000,100,5,0.1,0.08,0.506896551724138,0.17116641429283314,0.472,0.015050102751847354,0.37715047600609014,0.004912313300027153
2000,100,5,0.1,0.08,0.7103448275862069,0.3231153917667023,0.6586666666666666,0.014962643017033542,0.6094816053743637,0.006198604270291554
2000,100,5,0.1,0.08,0.9137931034482759,0.5080904574303382,0.7973333333333333,0.010531583124210842,0.7998269586402196,0.005833242042481661
2000,100,5,0.1,0.08,1.117241379310345,0.7143322141692858,0.9253333333333335,0.008983537848443789,0.9274237537650155,0.004030568907293399
2000,100,5,0.1,0.08,1.3206896551724139,0.9304872105799497,0.9746666666666666,0.005449517489193524,0.9746746692610384,0.002502765885944263
2000,100,5,0.1,0.08,1.524137931034483,1.1466530383559932,0.9906666666666668,0.0034559117286487185,0.9938893730083994,0.0012375571610748874
2000,100,5,0.1,0.08,1.727586206896552,1.354978663470203,0.996,0.002293849377453313,0.9984924441288417,0.0005867148057501984
2000,100,5,0.1,0.08,1.931034482758621,1.5498471621734597,1.0,0.0,0.9997260635080886,0.0001555258455247362
2000,100,5,0.1,0.08,2.13448275862069,1.7277430562473206,1.0,0.0,0.9999532954725748,4.370113092587525e-05
2000,100,5,0.1,0.08,2.337931034482759,1.886929747940715,1.0,0.0,0.9999987735885497,1.1846798060899203e-06
2000,100,5,0.1,0.08,2.5413793103448277,2.0270488789688494,1.0,0.0,0.9999996300936944,3.6959841568683625e-07
2000,100,5,0.1,0.08,2.7448275862068967,2.1487222367132994,1.0,0.0,0.9999999993750849,6.242002304789674e-10
2000,100,5,0.1,0.08,2.9482758620689657,2.2532034560033187,1.0,0.0,0.9999999999962915,3.6207860239438278e-12
2000,100,5,0.1,0.08,3.151724137931035,2.342099670310138,1.0,0.0,0.9999999999596613,4.012354395306183e-11
2000,100,5,0.1,0.08,3.355172413793104,2.4171650873562007,1.0,0.0,0.9999999999999847,9.068404332704182e-15
